Country;Year;Value
Czech Republic;2000;6,5
Czech Republic;2001;9,7
Czech Republic;2002;7,8
Czech Republic;2003;10,9
Czech Republic;2004;17,3
Czech Republic;2005;15,5
Czech Republic;2006;12,9
Czech Republic;2007;32,5
Czech Republic;2008;27,0
Czech Republic;2009;16,7
Czech Republic;2010;21,0
Czech Republic;2011;24,6
Czech Republic;2012;17,4
Czech Republic;2013;31,4
Czech Republic;2014;26,0
Czech Republic;2015;15,4
Czech Republic;2016;19,5
Czech Republic;2017;17,2
Czech Republic;2018;
Czech Republic;2019;
Denmark;1999;61,9
Denmark;2000;54,6
Denmark;2001;70,9
Denmark;2002;81,1
Denmark;2003;96,2
Denmark;2004;100,5
Denmark;2005;130,8
Denmark;2006;139,3
Denmark;2007;169,6
Denmark;2008;201,7
Denmark;2009;200,0
Denmark;2010;233,1
Denmark;2011;259,2
Denmark;2012;213,0
Denmark;2013;213,3
Denmark;2014;213,7
Denmark;2015;236,7
Denmark;2016;276,4
Denmark;2017;120,4
Denmark;2018;
Denmark;2019;
Estonia;1999;0,0
Estonia;2000;1,2
Estonia;2001;0,0
Estonia;2002;0,0
Estonia;2003;2,6
Estonia;2004;3,0
Estonia;2005;1,0
Estonia;2006;0,0
Estonia;2007;3,4
Estonia;2008;3,5
Estonia;2009;4,0
Estonia;2010;8,0
Estonia;2011;3,6
Estonia;2012;2,3
Estonia;2013;2,5
Estonia;2014;5,3
Estonia;2015;2,2
Estonia;2016;7,0
Estonia;2017;5,0
Estonia;2018;
Estonia;2019;
Finland;1999;65,0
Finland;2000;43,1
Finland;2001;77,0
Finland;2002;69,5
Finland;2003;80,4
Finland;2004;77,3
Finland;2005;99,4
Finland;2006;94,3
Finland;2007;115,7
Finland;2008;119,9
Finland;2009;142,7
Finland;2010;183,4
Finland;2011;212,1
Finland;2012;201,5
Finland;2013;190,5
Finland;2014;173,5
Finland;2015;150,4
Finland;2016;167,0
Finland;2017;114,3
Finland;2018;
Finland;2019;
France;1999;258,3
France;2000;265,6
France;2001;246,9
France;2002;311,3
France;2003;374,2
France;2004;415,2
France;2005;474,2
France;2006;589,3
France;2007;724,5
France;2008;821,0
France;2009;920,3
France;2010;915,6
France;2011;1.079,0
France;2012;1.084,5
France;2013;1.044,1
France;2014;1.048,4
France;2015;969,6
France;2016;797,1
France;2017;386,6
France;2018;
France;2019;
Germany;1999;1.120,0
Germany;2000;1.195,0
Germany;2001;1.206,7
Germany;2002;1.197,5
Germany;2003;1.233,3
Germany;2004;1.301,4
Germany;2005;1.494,0
Germany;2006;1.764,1
Germany;2007;2.088,4
Germany;2008;2.158,0
Germany;2009;2.410,4
Germany;2010;2.737,3
Germany;2011;2.809,9
Germany;2012;2.566,8
Germany;2013;2.278,8
Germany;2014;2.171,1
Germany;2015;1.989,9
Germany;2016;2.061,2
Germany;2017;1.050,1
Germany;2018;
Germany;2019;
Greece;1999;3,3
Greece;2000;4,3
Greece;2001;7,3
Greece;2002;6,7
Greece;2003;8,4
Greece;2004;2,5
Greece;2005;18,3
Greece;2006;18,8
Greece;2007;19,4
Greece;2008;9,7
Greece;2009;14,5
Greece;2010;17,5
Greece;2011;17,0
Greece;2012;10,3
Greece;2013;17,2
Greece;2014;15,7
Greece;2015;9,0
Greece;2016;14,2
Greece;2017;6,1
Greece;2018;
Greece;2019;
Hungary;1999;5,0
Hungary;2000;6,6
Hungary;2001;16,2
Hungary;2002;21,3
Hungary;2003;11,8
Hungary;2004;12,9
Hungary;2005;16,5
Hungary;2006;14,2
Hungary;2007;34,4
Hungary;2008;24,9
Hungary;2009;24,7
Hungary;2010;25,6
Hungary;2011;22,3
Hungary;2012;24,4
Hungary;2013;15,0
Hungary;2014;19,2
Hungary;2015;24,3
Hungary;2016;18,4
Hungary;2017;6,7
Hungary;2018;
Hungary;2019;
Iceland;1999;1,0
Iceland;2000;4,0
Iceland;2001;0,0
Iceland;2002;1,0
Iceland;2003;1,5
Iceland;2004;1,0
Iceland;2005;0,2
Iceland;2006;1,5
Iceland;2007;1,0
Iceland;2008;0,0
Iceland;2009;2,6
Iceland;2010;2,0
Iceland;2011;2,0
Iceland;2012;1,0
Iceland;2013;1,0
Iceland;2014;3,5
Iceland;2015;3,0
Iceland;2016;3,3
Iceland;2017;2,0
Iceland;2018;
Iceland;2019;
Ireland;1999;10,5
Ireland;2000;9,5
Ireland;2001;6,0
Ireland;2002;8,3
Ireland;2003;9,0
Ireland;2004;17,8
Ireland;2005;14,7
Ireland;2006;13,7
Ireland;2007;24,4
Ireland;2008;42,3
Ireland;2009;23,7
Ireland;2010;27,5
Ireland;2011;32,2
Ireland;2012;28,4
Ireland;2013;33,4
Ireland;2014;24,2
Ireland;2015;28,6
Ireland;2016;29,1
Ireland;2017;5,3
Ireland;2018;
Ireland;2019;
Israel;1999;42,2
Israel;2000;33,9
Israel;2001;53,3
Israel;2002;46,4
Israel;2003;43,4
Israel;2004;71,3
Israel;2005;85,3
Israel;2006;112,9
Israel;2007;141,3
Israel;2008;159,6
Israel;2009;147,7
Israel;2010;157,1
Israel;2011;151,2
Israel;2012;158,7
Israel;2013;129,1
Israel;2014;120,6
Israel;2015;120,7
Israel;2016;123,6
Israel;2017;61,2
Israel;2018;
Israel;2019;
Italy;1999;84,8
Italy;2000;90,4
Italy;2001;142,7
Italy;2002;126,6
Italy;2003;159,1
Italy;2004;143,2
Italy;2005;178,2
Italy;2006;214,7
Italy;2007;320,2
Italy;2008;281,8
Italy;2009;362,6
Italy;2010;323,4
Italy;2011;344,6
Italy;2012;354,0
Italy;2013;353,4
Italy;2014;319,9
Italy;2015;324,1
Italy;2016;326,1
Italy;2017;177,6
Italy;2018;
Italy;2019;
Japan;1999;539,0
Japan;2000;772,7
Japan;2001;920,0
Japan;2002;1.059,7
Japan;2003;1.313,7
Japan;2004;1.750,9
Japan;2005;2.035,2
Japan;2006;2.319,5
Japan;2007;2.719,6
Japan;2008;2.794,1
Japan;2009;3.708,4
Japan;2010;5.152,2
Japan;2011;6.080,3
Japan;2012;5.583,0
Japan;2013;4.969,9
Japan;2014;4.239,0
Japan;2015;3.585,8
Japan;2016;3.248,7
Japan;2017;1.700,9
Japan;2018;
Japan;2019;
Korea;1999;83,6
Korea;2000;121,4
Korea;2001;105,0
Korea;2002;146,6
Korea;2003;194,5
Korea;2004;244,3
Korea;2005;314,8
Korea;2006;398,7
Korea;2007;468,0
Korea;2008;554,4
Korea;2009;897,1
Korea;2010;1.086,4
Korea;2011;1.282,8
Korea;2012;1.201,1
Korea;2013;1.129,6
Korea;2014;1.115,7
Korea;2015;1.232,2
Korea;2016;1.294,2
Korea;2017;675,9
Korea;2018;
Korea;2019;
Latvia;1999;0,0
Latvia;2000;1,5
Latvia;2001;2,2
Latvia;2002;0,0
Latvia;2003;0,3
Latvia;2004;1,0
Latvia;2005;0,0
Latvia;2006;1,0
Latvia;2007;1,0
Latvia;2008;1,0
Latvia;2009;3,0
Latvia;2010;0,0
Latvia;2011;0,0
Latvia;2012;5,0
Latvia;2013;3,7
Latvia;2014;2,0
Latvia;2015;1,0
Latvia;2016;0,0
Latvia;2017;1,5
Latvia;2018;
Latvia;2019;
Lithuania;1999;0,0
Lithuania;2000;1,7
Lithuania;2001;1,0
Lithuania;2002;2,0
Lithuania;2003;0,0
Lithuania;2004;1,7
Lithuania;2005;3,0
Lithuania;2006;1,6
Lithuania;2007;1,0
Lithuania;2008;8,5
Lithuania;2009;2,0
Lithuania;2010;7,5
Lithuania;2011;0,8
Lithuania;2012;4,6
Lithuania;2013;4,7
Lithuania;2014;4,4
Lithuania;2015;4,8
Lithuania;2016;1,9
Lithuania;2017;3,7
Lithuania;2018;
Lithuania;2019;
Luxembourg;1999;5,2
Luxembourg;2000;5,7
Luxembourg;2001;0,0
Luxembourg;2002;3,6
Luxembourg;2003;1,1
Luxembourg;2004;4,0
Luxembourg;2005;2,2
Luxembourg;2006;10,4
Luxembourg;2007;2,6
Luxembourg;2008;6,3
Luxembourg;2009;8,1
Luxembourg;2010;7,6
Luxembourg;2011;18,1
Luxembourg;2012;13,6
Luxembourg;2013;7,9
Luxembourg;2014;12,0
Luxembourg;2015;8,0
Luxembourg;2016;7,6
Luxembourg;2017;4,3
Luxembourg;2018;
Luxembourg;2019;
Mexico;1999;9,0
Mexico;2000;6,5
Mexico;2001;10,5
Mexico;2002;6,7
Mexico;2003;13,9
Mexico;2004;11,8
Mexico;2005;25,3
Mexico;2006;20,7
Mexico;2007;26,9
Mexico;2008;38,4
Mexico;2009;15,8
Mexico;2010;35,8
Mexico;2011;43,0
Mexico;2012;34,6
Mexico;2013;28,3
Mexico;2014;48,3
Mexico;2015;33,1
Mexico;2016;26,6
Mexico;2017;28,3
Mexico;2018;
Mexico;2019;
Netherlands;1999;119,6
Netherlands;2000;125,2
Netherlands;2001;146,0
Netherlands;2002;124,7
Netherlands;2003;128,4
Netherlands;2004;134,4
Netherlands;2005;163,0
Netherlands;2006;197,6
Netherlands;2007;270,1
Netherlands;2008;278,7
Netherlands;2009;335,9
Netherlands;2010;316,1
Netherlands;2011;361,2
Netherlands;2012;335,5
Netherlands;2013;310,4
Netherlands;2014;308,2
Netherlands;2015;309,8
Netherlands;2016;279,3
Netherlands;2017;118,3
Netherlands;2018;
Netherlands;2019;
New Zealand;1999;13,0
New Zealand;2000;11,6
New Zealand;2001;21,6
New Zealand;2002;16,5
New Zealand;2003;21,3
New Zealand;2004;23,4
New Zealand;2005;23,1
New Zealand;2006;34,3
New Zealand;2007;37,1
New Zealand;2008;41,5
New Zealand;2009;43,8
New Zealand;2010;37,3
New Zealand;2011;45,8
New Zealand;2012;36,3
New Zealand;2013;29,4
New Zealand;2014;45,6
New Zealand;2015;18,8
New Zealand;2016;16,8
New Zealand;2017;13,7
New Zealand;2018;
New Zealand;2019;
Norway;1999;36,6
Norway;2000;50,3
Norway;2001;51,9
Norway;2002;48,9
Norway;2003;47,2
Norway;2004;51,3
Norway;2005;65,3
Norway;2006;74,3
Norway;2007;95,6
Norway;2008;90,8
Norway;2009;114,0
Norway;2010;111,4
Norway;2011;91,3
Norway;2012;93,9
Norway;2013;77,0
Norway;2014;60,3
Norway;2015;71,0
Norway;2016;72,7
Norway;2017;51,4
Norway;2018;
Norway;2019;
Poland;1999;6,1
Poland;2000;6,6
Poland;2001;14,8
Poland;2002;12,8
Poland;2003;6,8
Poland;2004;12,9
Poland;2005;9,9
Poland;2006;7,8
Poland;2007;15,2
Poland;2008;32,2
Poland;2009;37,7
Poland;2010;29,0
Poland;2011;32,2
Poland;2012;58,4
Poland;2013;40,1
Poland;2014;53,5
Poland;2015;68,3
Poland;2016;35,2
Poland;2017;31,4
Poland;2018;
Poland;2019;
Portugal;1999;4,6
Portugal;2000;3,2
Portugal;2001;6,3
Portugal;2002;1,0
Portugal;2003;3,2
Portugal;2004;1,0
Portugal;2005;12,1
Portugal;2006;13,3
Portugal;2007;20,9
Portugal;2008;25,7
Portugal;2009;17,8
Portugal;2010;21,8
Portugal;2011;16,2
Portugal;2012;18,9
Portugal;2013;12,8
Portugal;2014;12,6
Portugal;2015;26,8
Portugal;2016;22,9
Portugal;2017;7,0
Portugal;2018;
Portugal;2019;
Slovak Republic;1999;1,0
Slovak Republic;2000;5,0
Slovak Republic;2001;2,8
Slovak Republic;2002;1,0
Slovak Republic;2003;5,1
Slovak Republic;2004;6,0
Slovak Republic;2005;2,1
Slovak Republic;2006;4,5
Slovak Republic;2007;4,5
Slovak Republic;2008;2,9
Slovak Republic;2009;5,0
Slovak Republic;2010;7,7
Slovak Republic;2011;6,8
Slovak Republic;2012;8,3
Slovak Republic;2013;7,5
Slovak Republic;2014;5,2
Slovak Republic;2015;12,0
Slovak Republic;2016;13,2
Slovak Republic;2017;3,5
Slovak Republic;2018;
Slovak Republic;2019;
Slovenia;1999;2,0
Slovenia;2000;1,5
Slovenia;2001;4,0
Slovenia;2002;1,0
Slovenia;2003;3,3
Slovenia;2004;1,8
Slovenia;2005;7,4
Slovenia;2006;4,4
Slovenia;2007;1,3
Slovenia;2008;5,3
Slovenia;2009;8,3
Slovenia;2010;9,9
Slovenia;2011;14,5
Slovenia;2012;12,5
Slovenia;2013;16,0
Slovenia;2014;20,1
Slovenia;2015;7,1
Slovenia;2016;7,2
Slovenia;2017;10,0
Slovenia;2018;
Slovenia;2019;
Spain;1999;47,2
Spain;2000;38,1
Spain;2001;50,3
Spain;2002;32,3
Spain;2003;52,6
Spain;2004;77,9
Spain;2005;108,1
Spain;2006;157,3
Spain;2007;181,8
Spain;2008;193,7
Spain;2009;250,2
Spain;2010;257,0
Spain;2011;256,6
Spain;2012;232,2
Spain;2013;246,9
Spain;2014;222,0
Spain;2015;191,7
Spain;2016;157,9
Spain;2017;113,8
Spain;2018;
Spain;2019;
Sweden;1999;131,7
Sweden;2000;133,0
Sweden;2001;143,4
Sweden;2002;127,8
Sweden;2003;127,2
Sweden;2004;147,0
Sweden;2005;147,2
Sweden;2006;177,0
Sweden;2007;229,9
Sweden;2008;234,1
Sweden;2009;277,9
Sweden;2010;303,9
Sweden;2011;268,8
Sweden;2012;338,8
Sweden;2013;329,7
Sweden;2014;343,5
Sweden;2015;274,2
Sweden;2016;284,7
Sweden;2017;167,2
Sweden;2018;
Sweden;2019;
Switzerland;1999;58,8
Switzerland;2000;64,6
Switzerland;2001;72,2
Switzerland;2002;78,8
Switzerland;2003;73,2
Switzerland;2004;97,9
Switzerland;2005;110,1
Switzerland;2006;119,2
Switzerland;2007;138,0
Switzerland;2008;190,0
Switzerland;2009;199,1
Switzerland;2010;192,3
Switzerland;2011;197,0
Switzerland;2012;204,0
Switzerland;2013;151,4
Switzerland;2014;169,8
Switzerland;2015;147,3
Switzerland;2016;154,6
Switzerland;2017;81,9
Switzerland;2018;
Switzerland;2019;
Turkey;1999;4,3
Turkey;2000;8,0
Turkey;2001;4,1
Turkey;2002;6,3
Turkey;2003;5,4
Turkey;2004;14,2
Turkey;2005;24,0
Turkey;2006;17,3
Turkey;2007;19,5
Turkey;2008;26,8
Turkey;2009;22,2
Turkey;2010;31,5
Turkey;2011;35,4
Turkey;2012;30,3
Turkey;2013;55,7
Turkey;2014;78,7
Turkey;2015;81,1
Turkey;2016;89,3
Turkey;2017;46,0
Turkey;2018;
Turkey;2019;
United Kingdom;1999;293,2
United Kingdom;2000;288,6
United Kingdom;2001;307,4
United Kingdom;2002;301,6
United Kingdom;2003;306,3
United Kingdom;2004;352,6
United Kingdom;2005;360,5
United Kingdom;2006;455,6
United Kingdom;2007;528,5
United Kingdom;2008;556,7
United Kingdom;2009;591,1
United Kingdom;2010;639,9
United Kingdom;2011;662,0
United Kingdom;2012;712,7
United Kingdom;2013;697,7
United Kingdom;2014;594,1
United Kingdom;2015;624,0
United Kingdom;2016;572,4
United Kingdom;2017;318,8
United Kingdom;2018;
United Kingdom;2019;
United States;1999;1.518,1
United States;2000;1.866,8
United States;2001;1.929,1
United States;2002;2.048,9
United States;2003;2.071,8
United States;2004;2.409,3
United States;2005;2.748,5
United States;2006;3.170,2
United States;2007;3.574,4
United States;2008;3.686,7
United States;2009;4.058,3
United States;2010;4.366,0
United States;2011;4.474,7
United States;2012;4.862,6
United States;2013;5.062,6
United States;2014;3.827,5
United States;2015;3.631,7
United States;2016;3.446,9
United States;2017;1.849,5
United States;2018;
United States;2019;
European Union;1999;
European Union;2000;
European Union;2001;
European Union;2002;
European Union;2003;
European Union;2004;
European Union;2005;
European Union;2006;
European Union;2007;
European Union;2008;
European Union;2009;
European Union;2010;
European Union;2011;
European Union;2012;
European Union;2013;
European Union;2014;
European Union;2015;
European Union;2016;
European Union;2017;
European Union;2018;
European Union;2019;
OECD ;1999;4.896,1
OECD ;2000;5.675,5
OECD ;2001;6.084,5
OECD ;2002;6.374,0
OECD ;2003;6.889,4
OECD ;2004;8.098,4
OECD ;2005;9.283,1
OECD ;2006;10.841,8
OECD ;2007;12.756,8
OECD ;2008;13.381,4
OECD ;2009;15.713,4
OECD ;2010;18.235,2
OECD ;2011;19.804,5
OECD ;2012;19.345,7
OECD ;2013;18.313,5
OECD ;2014;16.127,8
OECD ;2015;14.984,5
OECD ;2016;14.343,9
OECD ;2017;7.646,9
OECD ;2018;
OECD ;2019;
World;1999;5.084,0
World;2000;5.908,0
World;2001;6.364,0
World;2002;6.690,0
World;2003;7.299,0
World;2004;8.594,0
World;2005;9.951,0
World;2006;11.648,0
World;2007;13.635,0
World;2008;14.319,0
World;2009;16.863,0
World;2010;19.917,0
World;2011;21.660,0
World;2012;21.262,0
World;2013;20.437,0
World;2014;18.507,0
World;2015;17.449,0
World;2016;17.317,0
World;2017;10.138,0
World;2018;
World;2019;
Algeria;1999;0,0
Algeria;2000;0,0
Algeria;2001;0,0
Algeria;2002;1,0
Algeria;2003;2,0
Algeria;2004;1,0
Algeria;2005;0,0
Algeria;2006;2,2
Algeria;2007;2,3
Algeria;2008;1,0
Algeria;2009;0,3
Algeria;2010;0,0
Algeria;2011;1,3
Algeria;2012;1,5
Algeria;2013;1,0
Algeria;2014;0,5
Algeria;2015;4,0
Algeria;2016;2,5
Algeria;2017;0,0
Algeria;2018;
Algeria;2019;
Andorra;1999;0,0
Andorra;2000;0,0
Andorra;2001;0,0
Andorra;2002;0,0
Andorra;2003;0,0
Andorra;2004;0,0
Andorra;2005;1,0
Andorra;2006;0,0
Andorra;2007;0,0
Andorra;2008;0,0
Andorra;2009;0,0
Andorra;2010;0,0
Andorra;2011;2,0
Andorra;2012;0,0
Andorra;2013;0,0
Andorra;2014;0,0
Andorra;2015;0,5
Andorra;2016;0,0
Andorra;2017;1,5
Andorra;2018;
Andorra;2019;
Argentina;1999;0,3
Argentina;2000;0,0
Argentina;2001;0,7
Argentina;2002;0,0
Argentina;2003;1,8
Argentina;2004;0,0
Argentina;2005;5,8
Argentina;2006;7,0
Argentina;2007;4,4
Argentina;2008;4,3
Argentina;2009;3,0
Argentina;2010;6,5
Argentina;2011;1,0
Argentina;2012;12,6
Argentina;2013;1,5
Argentina;2014;4,3
Argentina;2015;4,3
Argentina;2016;6,3
Argentina;2017;2,3
Argentina;2018;
Argentina;2019;
Armenia;1999;0,0
Armenia;2000;0,0
Armenia;2001;0,0
Armenia;2002;1,0
Armenia;2003;0,0
Armenia;2004;1,7
Armenia;2005;0,7
Armenia;2006;0,0
Armenia;2007;0,0
Armenia;2008;0,0
Armenia;2009;2,0
Armenia;2010;0,0
Armenia;2011;1,3
Armenia;2012;2,2
Armenia;2013;2,6
Armenia;2014;0,1
Armenia;2015;3,0
Armenia;2016;1,0
Armenia;2017;0,0
Armenia;2018;
Armenia;2019;
Belarus;1999;0,0
Belarus;2000;2,1
Belarus;2001;1,8
Belarus;2002;0,5
Belarus;2003;1,0
Belarus;2004;4,2
Belarus;2005;2,0
Belarus;2006;0,0
Belarus;2007;2,1
Belarus;2008;5,0
Belarus;2009;1,3
Belarus;2010;3,5
Belarus;2011;2,7
Belarus;2012;1,0
Belarus;2013;3,0
Belarus;2014;2,0
Belarus;2015;0,0
Belarus;2016;1,3
Belarus;2017;3,0
Belarus;2018;
Belarus;2019;
Bermuda;1999;0,0
Bermuda;2000;0,0
Bermuda;2001;0,0
Bermuda;2002;0,0
Bermuda;2003;0,0
Bermuda;2004;0,0
Bermuda;2005;0,0
Bermuda;2006;0,0
Bermuda;2007;0,0
Bermuda;2008;1,0
Bermuda;2009;1,0
Bermuda;2010;0,0
Bermuda;2011;0,0
Bermuda;2012;0,0
Bermuda;2013;0,0
Bermuda;2014;0,0
Bermuda;2015;0,0
Bermuda;2016;0,0
Bermuda;2017;0,0
Bermuda;2018;
Bermuda;2019;
Bosnia and Herzegovina;1999;0,0
Bosnia and Herzegovina;2000;0,0
Bosnia and Herzegovina;2001;0,0
Bosnia and Herzegovina;2002;1,0
Bosnia and Herzegovina;2003;1,0
Bosnia and Herzegovina;2004;0,0
Bosnia and Herzegovina;2005;1,0
Bosnia and Herzegovina;2006;3,5
Bosnia and Herzegovina;2007;0,8
Bosnia and Herzegovina;2008;1,0
Bosnia and Herzegovina;2009;1,0
Bosnia and Herzegovina;2010;1,0
Bosnia and Herzegovina;2011;2,0
Bosnia and Herzegovina;2012;3,0
Bosnia and Herzegovina;2013;3,0
Bosnia and Herzegovina;2014;1,0
Bosnia and Herzegovina;2015;0,0
Bosnia and Herzegovina;2016;0,5
Bosnia and Herzegovina;2017;0,0
Bosnia and Herzegovina;2018;
Bosnia and Herzegovina;2019;
Brazil;1999;13,8
Brazil;2000;11,3
Brazil;2001;12,4
Brazil;2002;9,7
Brazil;2003;24,6
Brazil;2004;26,5
Brazil;2005;30,4
Brazil;2006;60,0
Brazil;2007;71,7
Brazil;2008;62,2
Brazil;2009;52,3
Brazil;2010;79,5
Brazil;2011;72,9
Brazil;2012;80,2
Brazil;2013;77,8
Brazil;2014;75,3
Brazil;2015;79,9
Brazil;2016;82,8
Brazil;2017;62,7
Brazil;2018;
Brazil;2019;
Bulgaria;1999;4,0
Bulgaria;2000;2,8
Bulgaria;2001;2,1
Bulgaria;2002;6,0
Bulgaria;2003;2,0
Bulgaria;2004;2,0
Bulgaria;2005;5,0
Bulgaria;2006;1,0
Bulgaria;2007;4,7
Bulgaria;2008;9,7
Bulgaria;2009;5,0
Bulgaria;2010;3,0
Bulgaria;2011;9,4
Bulgaria;2012;4,1
Bulgaria;2013;8,9
Bulgaria;2014;11,8
Bulgaria;2015;15,1
Bulgaria;2016;6,9
Bulgaria;2017;5,0
Bulgaria;2018;
Bulgaria;2019;
Cayman Islands;1999;0,0
Cayman Islands;2000;0,0
Cayman Islands;2001;0,0
Cayman Islands;2002;0,0
Cayman Islands;2003;1,0
Cayman Islands;2004;0,0
Cayman Islands;2005;0,5
Cayman Islands;2006;0,0
Cayman Islands;2007;0,0
Cayman Islands;2008;0,0
Cayman Islands;2009;0,0
Cayman Islands;2010;0,0
Cayman Islands;2011;2,0
Cayman Islands;2012;1,0
Cayman Islands;2013;0,0
Cayman Islands;2014;0,0
Cayman Islands;2015;0,0
Cayman Islands;2016;0,0
Cayman Islands;2017;0,0
Cayman Islands;2018;
Cayman Islands;2019;
China (People's Republic of);1999;28,1
China (People's Republic of);2000;38,1
China (People's Republic of);2001;56,0
China (People's Republic of);2002;57,4
China (People's Republic of);2003;66,3
China (People's Republic of);2004;108,9
China (People's Republic of);2005;177,8
China (People's Republic of);2006;259,4
China (People's Republic of);2007;350,4
China (People's Republic of);2008;372,7
China (People's Republic of);2009;521,6
China (People's Republic of);2010;948,7
China (People's Republic of);2011;1.031,5
China (People's Republic of);2012;1.073,5
China (People's Republic of);2013;1.220,1
China (People's Republic of);2014;1.233,8
China (People's Republic of);2015;1.359,3
China (People's Republic of);2016;1.958,5
China (People's Republic of);2017;1.697,5
China (People's Republic of);2018;
China (People's Republic of);2019;
Chinese Taipei;1999;1,0
Chinese Taipei;2000;0,0
Chinese Taipei;2001;0,0
Chinese Taipei;2002;0,0
Chinese Taipei;2003;1,0
Chinese Taipei;2004;2,0
Chinese Taipei;2005;2,5
Chinese Taipei;2006;0,0
Chinese Taipei;2007;2,0
Chinese Taipei;2008;2,2
Chinese Taipei;2009;1,0
Chinese Taipei;2010;1,0
Chinese Taipei;2011;0,0
Chinese Taipei;2012;0,1
Chinese Taipei;2013;1,0
Chinese Taipei;2014;1,3
Chinese Taipei;2015;0,0
Chinese Taipei;2016;1,3
Chinese Taipei;2017;4,3
Chinese Taipei;2018;
Chinese Taipei;2019;
Costa Rica;1999;4,5
Costa Rica;2000;5,7
Costa Rica;2001;7,0
Costa Rica;2002;8,0
Costa Rica;2003;5,0
Costa Rica;2004;2,0
Costa Rica;2005;3,0
Costa Rica;2006;1,5
Costa Rica;2007;6,0
Costa Rica;2008;6,0
Costa Rica;2009;5,0
Costa Rica;2010;8,0
Costa Rica;2011;8,8
Costa Rica;2012;7,0
Costa Rica;2013;4,2
Costa Rica;2014;1,5
Costa Rica;2015;3,5
Costa Rica;2016;5,5
Costa Rica;2017;2,0
Costa Rica;2018;
Costa Rica;2019;
Croatia;1999;0,0
Croatia;2000;0,0
Croatia;2001;0,0
Croatia;2002;0,0
Croatia;2003;1,0
Croatia;2004;0,0
Croatia;2005;0,3
Croatia;2006;3,0
Croatia;2007;0,0
Croatia;2008;0,0
Croatia;2009;0,0
Croatia;2010;0,0
Croatia;2011;0,0
Croatia;2012;0,1
Croatia;2013;0,0
Croatia;2014;0,0
Croatia;2015;0,0
Croatia;2016;0,0
Croatia;2017;0,2
Croatia;2018;
Croatia;2019;
Cuba;1999;0,0
Cuba;2000;1,2
Cuba;2001;2,0
Cuba;2002;0,9
Cuba;2003;0,3
Cuba;2004;0,0
Cuba;2005;3,3
Cuba;2006;0,3
Cuba;2007;2,5
Cuba;2008;3,5
Cuba;2009;1,5
Cuba;2010;0,7
Cuba;2011;0,0
Cuba;2012;0,0
Cuba;2013;0,0
Cuba;2014;1,1
Cuba;2015;1,0
Cuba;2016;0,0
