Title,Latitude,Longitude,"Company Size","Target Year","Target Status","All GHGs","Excludes International Offsets","Includes Interim Targets","Includes Scopes,","Source (URL)","Source (Text)","Climate Ambition Alliance","Published Net Zero Plan","Reporting Initiatives"
Uniper,51.22774110,6.77345560,"$92,260,800,000",2035,"In Policy Document",Yes,"Unclear or Undecided","Unclear or Undecided",No,https://www.uniper.energy/news/uniper-surpasses-2019-financial-targets-and-aims-for-climate-neutral-power-generation-in-europe-by-2035/,PR,No,No,
"Sky Group",51.48607300,-0.31011690,"$21,800,000,000",2030,"In Policy Document",Yes,No,Yes,No,https://www.skygroup.sky/sky-zero,PR,No,Yes,"CDP, SBTi"
Endesa,40.45735750,-3.61877240,"$1,600,000,000",2050,"In Policy Document",Yes,"Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://transitionpathwayinitiative.org/tpi/publications/41.pdf?type=Publication,Initiative,No,Yes,CDP
E.ON,51.45564320,7.01155520,"$35,703,600,000",2050,"In Policy Document",Yes,"Unclear or Undecided",Yes,No,https://www.eonenergy.com/business/clean-air-for-business/decarbonisation.html,PR,No,Yes,N/A
"Exxaro Resources",-25.85328100,28.18927900,"$1,300,000,000",2030,"In Policy Document",Yes,"Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://transitionpathwayinitiative.org/tpi/publications/41.pdf?type=Publication,Initiative,No,No,CDP
Orsted,55.56892980,9.74951700,"$9,000,000,000",2050,"In Policy Document",Yes,"Unclear or Undecided",Yes,Yes,https://orsted.com/en/Media/Newsroom/News/2020/01/373943464489368,PR,Yes,Yes,"CDP, SBTi"
South32,-31.95430970,115.85725960,"$6,940,000,000",2050,"In Policy Document",Yes,No,"Unclear or Undecided",No,https://www.south32.net/environment/emissions-and-energy,PR,No,Yes,CDP
"National Grid",51.53656300,0.07576600,"$19,280,000,000",2050,"In Policy Document",Yes,"Unclear or Undecided",Yes,No,https://www.nationalgrid.com/national-grids-net-zero-commitment,PR,No,Yes,"CDP, SBTi"
Barclays,51.37616500,-0.09823400,"$38,278,000,000",2050,"In Policy Document",Yes,"Unclear or Undecided","Unclear or Undecided",No,https://www.reuters.com/article/us-climagechange-barclays/barclays-sets-2050-net-zero-carbon-goal-after-investor-pressure-idUSKBN21H0Z8,Article,No,No,CDP
Salesforce,37.77492950,-122.41941550,"$13,280,000,000",2018,"In Policy Document",Yes,Yes,Yes,No,https://www.salesforce.com/company/news-press/press-releases/2017/04/170413/,PR,Yes,No,"CDP, SBTi"
"Schneider Electric",48.88276700,2.17693000,"$30,353,900,000",2050,"In Policy Document",Yes,"Unclear or Undecided",Yes,No,https://www.se.com/ww/en/about-us/press/news/corporate-2019/net-zero-carbon.jsp,PR,Yes,No,"CDP, SBTi"
Sodexo,48.82453060,2.27434190,"$24,610,000,000",2050,"In Policy Document",Yes,"Unclear or Undecided",Yes,No,https://climateaction.unfccc.int/views/stakeholder-details.html?id=9716,Initiative,Yes,Yes,"CDP, SBTi"
Suez,48.85661400,2.35222190,"$18,000,000,000",2030,"In Policy Document",Yes,No,Yes,No,https://www.suez.com/en/who-we-are/a-committed-group/fight-climate-change,PR,Yes,Yes,"CDP, SBTi"
"Rio Tinto",51.50811390,-0.13477600,"$40,522,000,000",2050,"In Policy Document",No,No,Yes,No,"Climate Change Report 2019, PDF, 5.89 MB",PR,Yes,Yes,CDP
Safaricom,-1.29206590,36.82194620,"$2,400,000,000",2050,"In Policy Document",Yes,No,Yes,No,https://www.safaricom.co.ke/images/Downloads/Resources_Downloads/Safaricom2019_Sustainability_Report.pdf,PR,Yes,Yes,SBTi
"Etihad Airways",24.41401150,54.56864890,"$6,100,000,000",2050,"In Policy Document",Yes,No,Yes,Yes,https://www.etihad.com/en/news/etihad-targets-zero-net-carbon-emissions-by-2050-in-expanded-commitment-to-environmental-sustainability,PR,No,No,CDP*
EasyJet,51.87626460,-0.37174710,"$5,900,000,000",2050,"In Policy Document",Yes,No,Yes,"Unclear or Undecided",https://www.easyjet.com/en/sustainability,PR,No,Yes,CDP
Vale,-22.90684670,-43.17289650,"$36,696,000,000",2050,"In Policy Document",Yes,No,Yes,Yes,https://www.ft.com/content/3810633e-4e77-11ea-95a0-43d18ec715f5,Initiative,No,Yes,"CDP, SBTi"
ThyssenKrupp,51.45564320,7.01155520,"$50,856,100,000",2050,"In Policy Document",Yes,No,Yes,"Unclear or Undecided",https://www.thyssenkrupp.com/en/newsroom/press-releases/thyssenkrupp-sets-clear-targets--group-aims-to-be-climate-neutral-by-2050------30-percent-emissions-reduction-planned-for-2030-12803.html,PR,No,Yes,"CDP, SBTi"
